S/N,KNN,CART,biota
1,0.5201585538481818,0.526846486394808,agrococcus
1,0.533493840481971,0.5170628484398885,geodermatophilus
1,0.5334704882430684,0.5236103826077145,bark
1,0.5341310918894389,0.5226540232092503,lichen
1,0.5391236618958773,0.51995107823144,aspen
1,0.5625409589814772,0.5480815576071532,leafy spurge
1,0.5130782687405286,0.514886284677117,agrococcus
1,0.5324804143062674,0.5229814090459491,geodermatophilus
1,0.5254860664824196,0.5120655066819478,bark
1,0.5406301319678297,0.5248996503210619,lichen
1,0.5394746527282758,0.5369278384543387,aspen
1,0.5455442232701062,0.5367892531179322,leafy spurge
20,0.5533289065032339,0.5684648189599694,agrococcus
20,0.5562998774840392,0.5631884497796961,geodermatophilus
20,0.5641546096977808,0.5748925534925124,bark
20,0.5669246634253071,0.5931472562214266,lichen
20,0.5924926702576723,0.616930697518735,aspen
20,0.5946491380815287,0.6240894412642796,leafy spurge
20,0.556975755232286,0.5661153148751614,agrococcus
20,0.5531080557054222,0.5647811291700386,geodermatophilus
20,0.5564880368364683,0.5637140483803782,bark
20,0.5664733830122081,0.5970877201655793,lichen
20,0.5856221990466686,0.6091186333517222,aspen
20,0.5906944634499668,0.6305351156018524,leafy spurge
100,0.6384892070148162,0.6293150065266502,agrococcus
100,0.668946728037047,0.657700381035878,geodermatophilus
100,0.6526241633833872,0.6389495673490242,bark
100,0.6583878577680761,0.6678162591515802,lichen
100,0.7067151984454128,0.7012167294782712,aspen
100,0.7230142947053444,0.7241456365706869,leafy spurge
100,0.6283524296616512,0.6356642348343392,agrococcus
100,0.673030050130384,0.6643330467134251,geodermatophilus
100,0.6650130942927078,0.6401249679418638,bark
100,0.654505388427573,0.6588635402821643,lichen
100,0.7113567229078467,0.7029815625213074,aspen
100,0.710581353679286,0.7124007509428681,leafy spurge
